丁,pair,chō,
世,world,sei|se,yo
両,both,ryō,
主,master,shu,nushi|omo
乗,ride,jō,no-ru
予,in advance,yo,
事,abstract thing,ji,koto
仕,serve,shi,tsuka-eru
他,other,ta,hoka
代,substitute,dai|tai,ka-waru|yo
住,dwell,jū,su-mu
使,use,shi,tsuka-u
係,person in charge,kei,kakari|kaka-ru
倍,double,bai,
全,whole,zen,matta-ku
具,tool,gu,
写,copy,sha,utsu-su
列,row,retsu,
助,help,jo,tasu-keru
勉,diligence,ben,tsuto-meru
動,move,dō,ugo-ku
勝,win,shō,ka-tsu
化,disguise,ka,ba-keru
区,ward,ku,
医,doctor,i,
去,leave,kyo|ko,sa-ru
反,anti-,han,so-ru
取,take,shu,to-ru
受,receive,ju,u-keru
号,number,gō,
向,face(v.),kō,mu-kau
君,you,kun,kimi
味,flavor,mi,aji|aji-wau
命,life,mei,inochi
和,peace|sum,wa,
品,article,hin,shina
員,member,in,
商,commerce,shō,
問,question,mon,to-u|ton
坂,slope,,saka
央,center,ō,
始,begin,shi,haji-meru
委,committee,i,yuda-neru
守,protect,shu,mamo-ru
安,cheap,an,yasu-i
定,fix,tei|jō,sada-meru
実,fruit|content,jitsu,mi|mino-ru
客,guest,kyaku,
宮,Shinto shrine|prince (princess),kyū,miya
宿,inn,shuku,yado|yado-ru
寒,cold,kan,samu-i
対,opposite,tai,
局,office,kyoku,
屋,premise,oku,ya
岸,shore,gan,kishi
島,island,tō,shima
州,state,shū,
帳,account book,chō,
平,flat,hei|byō,tai-ra|hira
幸,happiness,kō,saiwa-i|shiawa-se
度,degrees,do,
庫,warehouse,ko,
庭,garden,tei,niwa
式,style,shiki,
役,role,yaku,
待,wait,tai,ma-tsu
急,hurry,kyū,iso-gu
息,breath,soku,iki
悪,bad,aku,waru-i
悲,sad,hi,kana-shii
想,thought,sō,
意,idea,i,
感,feel,kan,
所,place,sho,tokoro
打,hit,da,u-tsu
投,throw,tō,na-geru
拾,pick up,,hiro-u
持,hold,ji,mo-tsu
指,finger,shi,yubi|sa-su
放,release,hō,hana-su
整,put in order,sei,totono-eru
旅,trip,ryo,tabi
族,tribe,zoku,
昔,long ago,,mukashi
昭,clear,shō,
暑,hot,sho,atsu-i
暗,dark,an,kura-i
曲,sheet music / crooked,kyoku,ma-garu
有,be,yū,a-ru
服,clothes,fuku,
期,period of time,ki,
板,board,han|ban,ita
柱,pillar,chū,hashira
根,root,kon,ne
植,plant,shoku,u-eru
業,business,gyō,
様,appearance|Mr (Mrs|Ms),yō,sama
横,side,ō,yoko
橋,bridge,kyō,hashi
次,next,ji,tsugi|tsu-gu
歯,tooth,shi,ha
死,death,shi,shi-nu
氷,ice,hyō,kōri
決,decide,ketsu,ki-meru
油,oil,yu,abura
波,wave,ha,nami
注,pour,chū,soso-gu
泳,swim,ei,oyo-gu
洋,ocean|western,yō,
流,stream,ryū,naga-reru
消,extinguish,shō,ki-eru|ke-su
深,deep,shin,fuka-i
温,warm,on,atata-kai
港,harbor,kō,minato
湖,lake,ko,mizūmi
湯,hot water,tō,yu
漢,China,kan,
炭,charcoal,tan,sumi
物,thing,butsu|motsu,mono
球,ball,kyū,tama
由,reason,yū|yu,yoshi
申,say,,mō-su
界,world,kai,
畑,agricultural field,,hata|hatake
病,sick,byō,yamai
発,departure,hatsu,
登,climb,tō|to,nobo-ru
皮,skin,hi,kawa
皿,dish,,sara
相,mutual,sō,ai
県,prefecture,ken,
真,true,shin,ma
着,wear|arrive,chaku,ki-ru|tsu-ku
短,short,tan,mijika-i
研,sharpen,ken,to-gu
礼,thanks,rei,
神,god(s),shin|jin,kami
祭,festival,sai,matsu-ri
福,luck,fuku,
秒,second,byō,
究,research,kyū,
章,chapter,shō,
童,juvenile,dō,
笛,whistle,teki,fue
第,ordinal number prefix,dai,
筆,writing brush,hitsu,fude
等,class,tō,hito-shii
箱,box,,hako
級,rank,kyū,
終,end,shū,o-waru
緑,green,ryoku,midori
練,practice,ren,ne-ru
羊,sheep,yō,hitsuji
美,beauty,bi,utsuku-shii
習,learn,shū,nara-u
者,someone,sha,mono
育,nurture,iku,soda-tsu
苦,suffer,ku,kuru-shii|niga-i
荷,luggage,ka,ni
落,fall,raku,o-chiru
葉,leaf,yō,ha
薬,medicine,yaku,kusuri
血,blood,ketsu,chi
表,list|surface,hyō,omote|arawa-su
詩,poem,shi,
調,investigate,chō,shira-beru
談,discuss,dan,
豆,beans,tō|zu,mame
負,lose,fu,ma-keru|o-u
起,wake up,ki,o-kiru
路,road,ro,ji
身,body,shin,mi
転,revolve,ten,koro-bu
軽,light,kei,karu-i
農,farming,nō,
返,return,hen,kae-su
追,follow,tsui,o-u
送,send,sō,oku-ru
速,fast,soku,haya-i
進,advance,shin,susu-mu
遊,play,yū,aso-bu
運,carry,un,hako-bu
部,part,bu,
都,metropolis,to|tsu,miyako
配,distribute,hai,kuba-ru
酒,rice wine,shu,sake|saka
重,heavy,jū|chō,omo-i|kasa-neru
鉄,iron,tetsu,
銀,silver,gin,
開,open,kai,hira-ku|a-ku
院,institution,in,
陽,sunshine,yō,
階,floor of a building,kai,
集,collect,shū,atsu-maru
面,face,men,omo-te|tsura
題,topic,dai,
飲,drink,in,no-mu
館,public building,kan,
駅,station,eki,
鼻,nose,bi,hana
